CODE,GUBUN,YEAR,DETAIL_INDEX,INDICATOR
3,C,2013,0.348,11
3,C,2014,0.333,11
3,C,2015,0.455,11
3,C,2016,0.286,11
3,C,2017,0.222,11
3,C,2018,0.143,11
3,C,2019,0.304,11
4,C,2008,0,11
4,C,2009,0,11
4,C,2010,0,11
4,C,2011,0,11
4,C,2012,0,11
4,C,2013,0,11
4,C,2014,0,11
4,C,2015,0,11
4,C,2016,0,11
4,C,2017,0,11
4,C,2018,0.179,11
4,C,2019,0,11
5,C,2008,0.045,11
5,C,2009,0.241,11
5,C,2010,0.469,11
5,C,2011,0.533,11
5,C,2012,0.6,11
5,C,2013,0.565,11
5,C,2014,0.704,11
5,C,2015,0.636,11
5,C,2016,0.643,11
5,C,2017,0.63,11
5,C,2018,0.357,11
5,C,2019,0.304,11
6,C,2008,0.091,11
6,C,2009,0.276,11
6,C,2010,0.406,11
6,C,2011,0.367,11
6,C,2012,0.267,11
6,C,2013,0.478,11
6,C,2014,0.481,11
6,C,2015,0.485,11
6,C,2016,0.607,11
6,C,2017,0.444,11
6,C,2018,0.214,11
6,C,2019,0.087,11
7,C,2008,0.227,11
7,C,2009,0.138,11
7,C,2010,0.469,11
7,C,2011,0.667,11
7,C,2012,0.633,11
7,C,2013,0.87,11
7,C,2014,0.741,11
7,C,2015,0.636,11
7,C,2016,0.393,11
7,C,2017,0.407,11
7,C,2018,0.071,11
7,C,2019,0.087,11
8,C,2017,0.852,11
8,C,2018,0.893,11
8,C,2019,0.739,11
9,C,2008,0.318,11
9,C,2009,0.241,11
9,C,2010,0.312,11
9,C,2011,0.433,11
9,C,2012,0.4,11
9,C,2013,0.478,11
9,C,2014,0.519,11
9,C,2015,0.333,11
9,C,2016,0.357,11
9,C,2017,0.259,11
9,C,2018,0.357,11
9,C,2019,0.261,11
10,C,2008,1,11
10,C,2009,0.828,11
10,C,2010,0.75,11
10,C,2011,0.833,11
10,C,2012,0.667,11
10,C,2013,0.783,11
10,C,2014,0.593,11
10,C,2015,0.545,11
10,C,2016,0.75,11
10,C,2017,0.741,11
10,C,2018,0.679,11
10,C,2019,0.348,11
11,C,2008,0.773,11
11,C,2009,0.828,11
11,C,2010,0.875,11
11,C,2011,0.767,11
11,C,2012,0.833,11
11,C,2013,0.913,11
11,C,2014,0.63,11
11,C,2015,0.727,11
11,C,2016,0.821,11
11,C,2017,0.889,11
11,C,2018,0.857,11
11,C,2019,0.565,11
12,C,2008,0.636,11
12,C,2009,0.483,11
12,C,2010,0.625,11
12,C,2011,0.767,11
12,C,2012,0.733,11
12,C,2013,0.565,11
12,C,2014,0.519,11
12,C,2015,0.455,11
12,C,2016,0.607,11
12,C,2017,0.667,11
12,C,2018,0.607,11
12,C,2019,0.652,11
13,C,2008,0.773,11
13,C,2009,0.862,11
13,C,2010,0.875,11
13,C,2011,0.8,11
13,C,2012,0.833,11
13,C,2013,0.913,11
13,C,2014,0.815,11
13,C,2015,1,11
13,C,2016,1,11
13,C,2017,0.778,11
13,C,2018,0.75,11
13,C,2019,0.739,11
14,C,2008,0.864,11
14,C,2009,1,11
14,C,2010,0.906,11
14,C,2011,0.9,11
14,C,2012,0.967,11
14,C,2013,0.87,11
14,C,2014,0.667,11
14,C,2015,0.758,11
14,C,2016,0.679,11
14,C,2017,0.519,11
14,C,2018,0.714,11
14,C,2019,0.783,11
15,C,2008,0.818,11
15,C,2009,0.621,11
