CODE,GUBUN,YEAR,DETAIL_INDEX,INDICATOR
15,I,2009,0.938,19
15,I,2010,0.95,19
15,I,2011,0.962,19
15,I,2012,0.962,19
15,I,2013,0.969,19
15,I,2014,0.979,19
15,I,2015,0.983,19
15,I,2016,0.984,19
15,I,2017,0.993,19
15,I,2018,0.993,19
15,I,2019,0.993,19
16,I,2009,0.968,19
16,I,2010,0.972,19
16,I,2011,0.978,19
16,I,2012,0.974,19
16,I,2013,0.976,19
16,I,2014,0.984,19
16,I,2015,0.987,19
16,I,2016,0.988,19
16,I,2017,0.991,19
16,I,2018,0.99,19
16,I,2019,0.991,19
17,I,2009,0.874,19
17,I,2010,0.875,19
17,I,2011,0.883,19
17,I,2012,0.935,19
17,I,2013,0.949,19
17,I,2014,0.968,19
17,I,2015,0.974,19
17,I,2016,0.978,19
17,I,2017,0.983,19
17,I,2018,0.983,19
17,I,2019,0.984,19
18,I,2009,0.925,19
18,I,2010,0.934,19
18,I,2011,0.944,19
18,I,2012,0.935,19
18,I,2013,0.935,19
18,I,2014,0.955,19
18,I,2015,0.964,19
18,I,2016,0.969,19
18,I,2017,0.975,19
18,I,2018,0.972,19
18,I,2019,0.974,19
0,I,2009,0.995,20
0,I,2010,0.996,20
0,I,2011,0.995,20
0,I,2012,0.995,20
0,I,2013,0.997,20
0,I,2014,0.997,20
0,I,2015,0.997,20
0,I,2016,0.997,20
0,I,2017,0.998,20
0,I,2018,0.998,20
0,I,2019,0.997,20
1,I,2009,0.99,20
1,I,2010,0.988,20
1,I,2011,0.993,20
1,I,2012,0.988,20
1,I,2013,0.994,20
1,I,2014,0.99,20
1,I,2015,0.996,20
1,I,2016,0.998,20
1,I,2017,0.997,20
1,I,2018,0.996,20
1,I,2019,0.996,20
2,I,2009,0,20
2,I,2010,0,20
2,I,2011,0,20
2,I,2012,0,20
2,I,2013,0,20
2,I,2014,0,20
2,I,2015,0,20
2,I,2016,0,20
2,I,2017,0,20
2,I,2018,0,20
2,I,2019,0,20
3,I,2009,0.995,20
3,I,2010,0.995,20
3,I,2011,0.995,20
3,I,2012,0.995,20
3,I,2013,0.997,20
3,I,2014,0.997,20
3,I,2015,0.997,20
3,I,2016,0.997,20
3,I,2017,0.998,20
3,I,2018,0.998,20
3,I,2019,0.997,20
4,I,2009,0.995,20
4,I,2010,0.996,20
4,I,2011,0.998,20
4,I,2012,0.999,20
4,I,2013,0.999,20
4,I,2014,0.996,20
4,I,2015,0.998,20
4,I,2016,0.999,20
4,I,2017,0.999,20
4,I,2018,0.999,20
4,I,2019,0.998,20
5,I,2009,0.995,20
5,I,2010,0.996,20
5,I,2011,0.995,20
5,I,2012,0.995,20
5,I,2013,0.997,20
5,I,2014,0.997,20
5,I,2015,0.997,20
5,I,2016,0.997,20
5,I,2017,0.998,20
5,I,2018,0.998,20
5,I,2019,0.997,20
6,I,2009,0.994,20
6,I,2010,0.995,20
6,I,2011,0.994,20
6,I,2012,0.993,20
6,I,2013,0.994,20
6,I,2014,0.996,20
6,I,2015,0.996,20
6,I,2016,0.995,20
6,I,2017,0.996,20
6,I,2018,0.996,20
6,I,2019,0.995,20
7,I,2009,0.998,20
7,I,2010,0.998,20
7,I,2011,0.998,20
7,I,2012,0.999,20
7,I,2013,0.999,20
7,I,2014,0.999,20
7,I,2015,1,20
7,I,2016,0.999,20
7,I,2017,1,20
7,I,2018,0.999,20
7,I,2019,0.999,20
8,I,2009,0.994,20
8,I,2010,0.995,20
8,I,2011,0.994,20
8,I,2012,0.993,20
8,I,2013,0.994,20
8,I,2014,0.996,20
8,I,2015,0.995,20
8,I,2016,0.995,20
8,I,2017,0.997,20
8,I,2018,0.996,20
8,I,2019,0.995,20
9,I,2009,0.995,20
9,I,2010,0.996,20
9,I,2011,0.995,20
9,I,2012,0.995,20
9,I,2013,0.997,20
9,I,2014,0.997,20
9,I,2015,0.997,20
9,I,2016,0.997,20
9,I,2017,0.998,20
9,I,2018,0.998,20
9,I,2019,0.997,20
10,I,2009,0.998,20
10,I,2010,1,20
10,I,2011,0.998,20
10,I,2012,0.997,20
10,I,2013,0.998,20
10,I,2014,0.997,20
10,I,2015,1,20
10,I,2016,0.999,20
10,I,2017,0.999,20
10,I,2018,0.998,20
10,I,2019,0.998,20
11,I,2009,1,20
11,I,2010,1,20
11,I,2011,0.999,20
11,I,2012,1,20
11,I,2013,0.999,20
11,I,2014,1,20
11,I,2015,1,20
11,I,2016,1,20
11,I,2017,1,20
11,I,2018,1,20
11,I,2019,1,20
12,I,2009,0.999,20
12,I,2010,0.996,20
12,I,2011,0.998,20
12,I,2012,1,20
12,I,2013,0.998,20
12,I,2014,0.999,20
12,I,2015,1,20
12,I,2016,1,20
12,I,2017,0.999,20
12,I,2018,1,20
12,I,2019,0.999,20
13,I,2009,1,20
13,I,2010,0.999,20
13,I,2011,1,20
13,I,2012,1,20
13,I,2013,1,20
13,I,2014,0.999,20
13,I,2015,1,20
13,I,2016,0.999,20
13,I,2017,1,20
13,I,2018,1,20
13,I,2019,1,20
14,I,2009,0.995,20
14,I,2010,0.996,20
14,I,2011,0.995,20
14,I,2012,0.995,20
14,I,2013,0.997,20
14,I,2014,0.997,20
14,I,2015,0.997,20
14,I,2016,0.997,20
14,I,2017,0.998,20
14,I,2018,0.999,20
14,I,2019,0.999,20
15,I,2009,1,20
15,I,2010,1,20
15,I,2011,1,20
15,I,2012,1,20
15,I,2013,1,20
15,I,2014,1,20
15,I,2015,1,20
15,I,2016,1,20
15,I,2017,1,20
